Model ID,k,Terms,AIC rank,BIC rank,AIC,BIC,Train RMSE,Test RMSE,Test R2,Contains Cl2,Interaction count
122,3,"Br², Cl², SnCl",287,287,-1956.601374915837,-1939.601473946799,0.15011803813123373,0.2083260975477382,0.7229345782935578,Yes,1
37,2,"Br², Cl²",288,288,-1941.1507626651803,-1928.4008369384019,0.15266807584518005,0.211471092847204,0.7145059966184069,Yes,0
317,5,"Sn, Sn², Br², SnCl, BrCl",292,289,-1885.443685009415,-1859.9438335558582,0.16017163043274507,0.17561298869264394,0.8031169904294075,No,2
485,7,"Sn, Br, Sn², Br², SnBr, SnCl, BrCl",289,290,-1892.7548038748728,-1858.7550019367968,0.15843237753368483,0.17603616780231401,0.8021669791278067,No,3
408,6,"Sn, Br, Sn², Br², SnCl, BrCl",290,291,-1888.1309393149188,-1858.3811126191024,0.15944859051903362,0.17475902087792367,0.8050271334158772,No,2
436,6,"Sn, Sn², Br², SnBr, SnCl, BrCl",291,292,-1885.8491440080722,-1856.0993173122558,0.1598001638853632,0.1751623050666762,0.8041262334344966,No,3
412,6,"Sn, Br, Sn², SnBr, SnCl, BrCl",293,293,-1880.9091678855752,-1851.1593411897588,0.16056396124543248,0.1826556187533093,0.787009102361419,No,3
281,5,"Sn, Br, Sn², SnCl, BrCl",294,294,-1868.9790261350693,-1843.4791746815124,0.16273749758577707,0.17624724550079748,0.8016922678854395,No,2
170,4,"Sn, Sn², Br², BrCl",304,295,-1853.57369407215,-1832.3238178608526,0.1654946672035112,0.17376734387820048,0.807233617750295,No,1
275,5,"Sn, Br, Sn², Br², BrCl",300,296,-1855.4913596942154,-1829.9915082406585,0.16487002586256058,0.17301374698166228,0.8089019766445984,No,1
296,5,"Sn, Cl, Sn², Cl², SnBr",301,297,-1855.267534420369,-1829.7676829668121,0.16490564947769276,0.15440033258582145,0.8478081366663148,Yes,1
300,5,"Sn, Cl, Sn², SnBr, BrCl",302,298,-1854.9017431564387,-1829.4018917028818,0.16496388470577553,0.15420790324460565,0.848187254117772,No,2
319,5,"Sn, Sn², Cl², SnBr, BrCl",303,299,-1854.153839503646,-1828.653988050089,0.16508301755957708,0.15406493207016608,0.8484686247152807,Yes,2
424,6,"Sn, Cl, Sn², Cl², SnBr, SnCl",295,300,-1857.838365602514,-1828.0885389066975,0.16417968852955794,0.1540299148442872,0.8485374996409897,Yes,2
427,6,"Sn, Cl, Sn², SnBr, SnCl, BrCl",296,301,-1857.3748926551275,-1827.625065959311,0.16425315365255305,0.15397882477134653,0.8486379599555318,No,3
407,6,"Sn, Br, Sn², Br², SnBr, BrCl",297,302,-1857.1757022513364,-1827.42587555552,0.16428473743391628,0.17212630468011567,0.8108573534413421,No,2
316,5,"Sn, Sn², Br², SnBr, BrCl",306,303,-1852.6349097717937,-1827.1350583182368,0.16532523127719617,0.17263035512030128,0.809747970115733,No,2
437,6,"Sn, Sn², Cl², SnBr, SnCl, BrCl",298,304,-1856.477253871562,-1826.7274271757456,0.1643955319285615,0.15394502336849136,0.8487044065950756,Yes,3
425,6,"Sn, Cl, Sn², Cl², SnBr, BrCl",305,305,-1853.2897074950035,-1823.5398807991871,0.164902120108827,0.1544815700321709,0.8476479436059969,Yes,2
492,7,"Sn, Cl, Sn², Cl², SnBr, SnCl, BrCl",299,306,-1855.9140970869446,-1821.9142951488686,0.16416768745128532,0.1541058055859049,0.8483882113265246,Yes,3
280,5,"Sn, Br, Sn², SnBr, BrCl",307,307,-1844.6664850443697,-1819.1666335908128,0.16660173804877196,0.17745007968939006,0.7989762507192463,No,2
153,4,"Sn, Cl, Sn², Cl²",310,308,-1839.0833414151375,-1817.8334652038402,0.16782567617279834,0.170358758551136,0.8147219784808932,Yes,0
156,4,"Sn, Cl, Sn², BrCl",313,309,-1837.2104256029586,-1815.9605493916613,0.16812935151650987,0.17008154935703912,0.815324459787143,No,1
141,4,"Sn, Br, Sn², BrCl",314,310,-1837.183556243778,-1815.9336800324807,0.16813371212125672,0.17458467880910788,0.8054159547461441,No,1
297,5,"Sn, Cl, Sn², Cl², SnCl",309,311,-1839.7358351940006,-1814.2359837404438,0.16739653797211002,0.16941888392489798,0.8167607083939947,Yes,1
173,4,"Sn, Sn², Cl², BrCl",316,312,-1835.2471807291467,-1813.9973045178494,0.16844826275111635,0.16984750296276357,0.8158323679697722,Yes,1
298,5,"Sn, Cl, Sn², Cl², BrCl",311,313,-1839.0765145972562,-1813.5766631436993,0.16750310468291713,0.1711024083805549,0.813100897262557,Yes,1
301,5,"Sn, Cl, Sn², SnCl, BrCl",312,314,-1837.7385843701632,-1812.2387329166063,0.16771956437374846,0.16917836083040053,0.8172806267776821,No,2
426,6,"Sn, Cl, Sn², Cl², SnCl, BrCl",308,315,-1840.1860054760064,-1810.43617878019,0.16700110805282345,0.17008658803199345,0.8153135175796429,Yes,2
320,5,"Sn, Sn², Cl², SnCl, BrCl",315,316,-1835.5724691743364,-1810.0726177207796,0.16807060680976715,0.16897455857310398,0.8177205907377251,Yes,2
299,5,"Sn, Cl, Sn², SnBr, SnCl",317,317,-1830.7204229778565,-1805.2205715242997,0.16885960195924288,0.16883192886049617,0.8180281812703903,No,2
154,4,"Sn, Cl, Sn², SnBr",318,318,-1826.20303146987,-1804.9531552585727,0.16992523232610393,0.17008472545416956,0.8153175624730941,No,1
287,5,"Sn, Br, Br², SnCl, BrCl",320,319,-1818.4246689532288,-1792.924817499672,0.17087565025096846,0.18738106871309917,0.77584605096283,No,2
416,6,"Sn, Br, Br², SnBr, SnCl, BrCl",319,320,-1819.418239421662,-1789.6684127258457,0.17038260974015124,0.1922122726960983,0.7641384225046599,No,3
182,4,"Sn, Br², SnCl, BrCl",322,321,-1810.3899045367432,-1789.1400283254459,0.1725388047930749,0.19055556981986602,0.7681867444408907,No,2
291,5,"Sn, Br, SnBr, SnCl, BrCl",321,322,-1813.9922400734226,-1788.4923886198658,0.17160829185340615,0.19718315921653196,0.751781233978061,No,3
151,4,"Sn, Br, SnCl, BrCl",323,323,-1809.083275066644,-1787.8333988553468,0.17275655239432156,0.1877147890607365,0.7750469163772331,No,2
54,3,"Sn, Cl, Sn²",326,324,-1800.915790857183,-1783.915889888145,0.17446036231793693,0.18403107045823935,0.7837892536778459,No,0
325,5,"Sn, Br², SnBr, SnCl, BrCl",324,325,-1808.5138140807207,-1783.013962627164,0.1725181697292195,0.1912325192152917,0.7665367839261488,No,3
155,4,"Sn, Cl, Sn², SnCl",325,326,-1802.880584507733,-1781.6307082964356,0.17379397481821074,0.18173395021895888,0.789153156111394,No,1
